Geography,Geographic Area Name,Estimate!!Mean income (dollars)!!HOUSEHOLD INCOME!!All households
860Z200US02660,ZCTA5 02660,106008
860Z200US02663,ZCTA5 02663,242710
860Z200US02664,ZCTA5 02664,107661
860Z200US02666,ZCTA5 02666,119433
860Z200US02667,ZCTA5 02667,117669
860Z200US02668,ZCTA5 02668,129464
860Z200US02670,ZCTA5 02670,125380
860Z200US02671,ZCTA5 02671,162468
860Z200US02672,ZCTA5 02672,N
860Z200US02673,ZCTA5 02673,91018
860Z200US02675,ZCTA5 02675,133768
860Z200US02702,ZCTA5 02702,129578
860Z200US02703,ZCTA5 02703,112580
860Z200US02713,ZCTA5 02713,153850
860Z200US02715,ZCTA5 02715,135923
860Z200US02717,ZCTA5 02717,152934
860Z200US02718,ZCTA5 02718,115384
860Z200US02719,ZCTA5 02719,122082
860Z200US02720,ZCTA5 02720,75187
860Z200US02721,ZCTA5 02721,68877
860Z200US02723,ZCTA5 02723,67664
860Z200US02724,ZCTA5 02724,61979
860Z200US02725,ZCTA5 02725,234509
860Z200US02726,ZCTA5 02726,113584
860Z200US02738,ZCTA5 02738,185034
860Z200US02739,ZCTA5 02739,149311
860Z200US02740,ZCTA5 02740,69286
860Z200US02743,ZCTA5 02743,114987
860Z200US02744,ZCTA5 02744,64173
860Z200US02745,ZCTA5 02745,87605
860Z200US02746,ZCTA5 02746,56584
860Z200US02747,ZCTA5 02747,114521
