RegionID,SizeRank,RegionName,RegionType,State,City,Metro,month,ZHVI
66994,8705,21713,zip,MD,Boonsboro,"Hagerstown-Martinsburg, MD-WV",2022-05-31,364998.2274659241
67044,8708,21788,zip,MD,Thurmont,"Washington-Arlington-Alexandria, DC-VA-MD-WV",2022-05-31,333276.2590932808
68233,8727,24592,zip,VA,South Boston,,2022-05-31,110863.69930191572
68111,8741,24354,zip,VA,Marion,,2022-05-31,130239.31374088976
67173,8796,22172,zip,VA,Triangle,"Washington-Arlington-Alexandria, DC-VA-MD-WV",2022-05-31,478117.1729833595
66280,8881,20194,zip,VA,Reston,"Washington-Arlington-Alexandria, DC-VA-MD-WV",2022-05-31,667494.5428909834
67972,8903,24084,zip,VA,Dublin,"Blacksburg-Christiansburg, VA",2022-05-31,203858.1966485903
66548,8923,20678,zip,MD,Prince Frederick,"Washington-Arlington-Alexandria, DC-VA-MD-WV",2022-05-31,435358.6751821102
66510,8924,20619,zip,MD,California,"California-Lexington Park, MD",2022-05-31,347907.7658983635
67800,8992,23702,zip,VA,Portsmouth,"Virginia Beach-Norfolk-Newport News, VA-NC",2022-05-31,182887.27520294176
67048,9009,21793,zip,MD,Walkersville,"Washington-Arlington-Alexandria, DC-VA-MD-WV",2022-05-31,402458.71772402833
68047,9110,24219,zip,VA,Big Stone Gap,"Big Stone Gap, VA",2022-05-31,109634.56808236864
66590,9139,20736,zip,MD,Owings,"Washington-Arlington-Alexandria, DC-VA-MD-WV",2022-05-31,566635.0052611111
67352,9146,22657,zip,VA,Strasburg,,2022-05-31,289427.10699794063
66268,9157,20181,zip,VA,Nokesville,"Washington-Arlington-Alexandria, DC-VA-MD-WV",2022-05-31,677343.5221936643
67018,9166,21754,zip,MD,Ijamsville,"Washington-Arlington-Alexandria, DC-VA-MD-WV",2022-05-31,609029.8624521728
67517,9197,23072,zip,VA,Hayes,"Virginia Beach-Norfolk-Newport News, VA-NC",2022-05-31,303979.82505920593
67459,9264,22960,zip,VA,Orange,,2022-05-31,271523.6623778845
66528,9271,20640,zip,MD,Indian Head,"Washington-Arlington-Alexandria, DC-VA-MD-WV",2022-05-31,302139.30461731047
67043,9271,21787,zip,MD,Taneytown,"Baltimore-Columbia-Towson, MD",2022-05-31,346611.4173325079
67405,9276,22827,zip,VA,Elkton,"Harrisonburg, VA",2022-05-31,246622.0086187139
67464,9278,22968,zip,VA,Ruckersville,"Charlottesville, VA",2022-05-31,326326.31867175497
67994,9288,24121,zip,VA,Moneta,"Lynchburg, VA",2022-05-31,464298.2263967747
66155,9297,20037,zip,DC,Washington,"Washington-Arlington-Alexandria, DC-VA-MD-WV",2022-05-31,583234.0277605529
67950,9318,24055,zip,VA,Bassett,"Martinsville, VA",2022-05-31,95981.3714885477
67080,9343,21853,zip,MD,Princess Anne,"Salisbury, MD-DE",2022-05-31,185873.3460523075
66560,9521,20695,zip,MD,Waldorf,"Washington-Arlington-Alexandria, DC-VA-MD-WV",2022-05-31,470996.769823706
67101,9558,21911,zip,MD,Rising Sun,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",2022-05-31,333766.0399444464
68193,9572,24531,zip,VA,Chatham,"Danville, VA",2022-05-31,132976.58682405335
67225,9578,22307,zip,VA,Groveton,"Washington-Arlington-Alexandria, DC-VA-MD-WV",2022-05-31,646882.1868486708
68185,9616,24521,zip,VA,Amherst,"Lynchburg, VA",2022-05-31,234659.07877526936
66922,9630,21617,zip,MD,Centreville,"Baltimore-Columbia-Towson, MD",2022-05-31,461411.7863901008
67051,9631,21797,zip,MD,Woodbine,"Baltimore-Columbia-Towson, MD",2022-05-31,704018.7665113813
66749,9641,21048,zip,MD,Finksburg,"Baltimore-Columbia-Towson, MD",2022-05-31,480849.7659166958
66570,9713,20710,zip,MD,Bladensburg,"Washington-Arlington-Alexandria, DC-VA-MD-WV",2022-05-31,314535.6189872018
68165,9716,24477,zip,VA,Stuarts Draft,"Staunton, VA",2022-05-31,302684.59036071174
66777,9723,21102,zip,MD,Manchester,"Baltimore-Columbia-Towson, MD",2022-05-31,408528.87034637504
66587,9730,20732,zip,MD,Chesapeake Beach,"Washington-Arlington-Alexandria, DC-VA-MD-WV",2022-05-31,410688.95684475935
67475,9774,23002,zip,VA,Amelia Court House,"Richmond, VA",2022-05-31,262992.83336941275
68041,9802,24211,zip,VA,Abingdon,"Kingsport-Bristol, TN-VA",2022-05-31,279140.4977538919
67919,9828,24016,zip,VA,Roanoke,"Roanoke, VA",2022-05-31,116860.62322968327
66572,9853,20712,zip,MD,Mount Rainier,"Washington-Arlington-Alexandria, DC-VA-MD-WV",2022-05-31,473534.6286472508
68186,9891,24522,zip,VA,Appomattox,"Lynchburg, VA",2022-05-31,230487.268944629
66772,9904,21090,zip,MD,Linthicum Heights,"Baltimore-Columbia-Towson, MD",2022-05-31,382348.3775014014
67754,9923,23510,zip,VA,Norfolk,"Virginia Beach-Norfolk-Newport News, VA-NC",2022-05-31,320403.7877801152
68029,9927,24175,zip,VA,Troutville,"Roanoke, VA",2022-05-31,280929.4880700866
66932,9944,21629,zip,MD,Denton,,2022-05-31,318309.60943073634
67260,9984,22443,zip,VA,Colonial Beach,,2022-05-31,295415.3333061019
67546,9988,23117,zip,VA,Mineral,,2022-05-31,373947.1183055856
