Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Electricity [kW](Hourly) 
 03/17 14:00:00,0.6143798167419999,0.869951194765,0.0,0.769545911574,0.0,0.013353504575399999,0.013353504575399999,0.013353504575399999,0.0236947292974,0.00425699856787,0.0635196077253,0.255836121837,0.243188854739
 03/17 15:00:00,0.641257187443,0.873608736892,0.0,0.748175239297,0.0,0.0129826711192,0.0129826711192,0.0129826711192,0.027340070857700002,0.0049119211714,0.0658950331489,0.27005734297600004,0.24954014816999998
 03/17 16:00:00,0.752399317474,0.882982914471,0.0,0.687350599425,0.0,0.011927214785,0.011927214785,0.011927214785,0.041921440150599995,0.00753161213383,0.0752305305505,0.31943050559999997,0.285828014254
 03/17 17:00:00,0.976383139834,1.57001673334,0.0,1.2601073049200002,0.0,0.0218659451094,0.0218659451094,0.0218659451094,0.0838428803013,0.0150632242677,0.0922276002925,0.38805701376699997,0.364796476097
 03/17 18:00:00,1.18897407595,0.874734685385,0.0,0.625322814222,0.0,0.0108508809354,0.0108508809354,0.0108508809354,0.162217766574,0.029144067919900003,0.0938343890347,0.421312792432,0.43108417905900004
 03/17 19:00:00,1.2638433071700002,0.6359457105699999,0.0,0.492500072552,0.0,0.008546081362109999,0.008546081362109999,0.008546081362109999,0.242415287003,0.043552366294099996,0.08587000220839999,0.434877649519,0.438051920778
 03/17 20:00:00,1.25083630282,0.5674291479420001,0.0,0.469717218606,0.0,0.00815074309856,0.00815074309856,0.00815074309856,0.260641994805,0.0468269793118,0.0765268754022,0.44982816405000003,0.398331546149
 03/17 21:00:00,1.13759067953,0.613109479207,0.0,0.536164848301,0.0,0.009303772065129999,0.009303772065129999,0.009303772065129999,0.218720554654,0.0392953671779,0.0696771717763,0.439326339209,0.35073747464500005
 03/17 22:00:00,0.9348489745049999,0.730506859063,0.0,0.6750076324619999,0.0,0.011713034106100001,0.011713034106100001,0.011713034106100001,0.16404043125,0.029471528125,0.06115742313730001,0.380180645135,0.277755912751
 03/17 23:00:00,0.740490086427,0.866434185483,0.0,0.8237093627940001,0.0,0.0142933729871,0.0142933729871,0.0142933729871,0.114828301875,0.0206300696875,0.053823325404400005,0.330369906477,0.19601510999699998
 03/18 00:00:00,0.530198627022,0.981406659032,0.0,0.9492744522200001,0.0,0.0164722345351,0.0164722345351,0.0164722345351,0.058325483275699995,0.0104787649463,0.0489217041384,0.2732662339,0.112204206226
 03/18 01:00:00,0.43410239156999997,1.07596847986,0.0,1.04532441623,0.0,0.018138936436299997,0.018138936436299997,0.018138936436299997,0.034630750926300004,0.00622176583015,0.0463304374239,0.25160622016399997,0.0666442807888
 03/18 02:00:00,0.407075922259,1.15813855323,0.0,1.1343831355,0.0,0.0196843231344,0.0196843231344,0.0196843231344,0.0236947292974,0.00425699856787,0.0441181131503,0.24868904659699997,0.0561027115114
